Bulan,Aceh,Bali,Banten,Bengkulu,Yogyakarta,Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,INDONESIA
Apr-23,29750.33333333333,37248.333333333336,36462.0,32460.0,34111.666666666664,37620.333333333336,30319.666666666668,30642.666666666668,36194.0,35039.666666666664,33983.666666666664,41075.66666666666,32289.33333333333,40893.0,41893.79310344828,47276.66666666666,35070.34482758621,40454.0,33124.666666666664,47713.0,44565.333333333336,42347.58620689655,41881.0,41176.333333333336,46208.333333333336,28937.33333333333,30566.0,26781.33333333333,34511.333333333336,34892.666666666664,33346.666666666664,28729.33333333333,30521.666666666668,30804.666666666668,36143.893847194064
May-23,31575.483870967742,39309.67741935484,36560.645161290326,38415.16129032258,35021.6129032258,37860.0,31875.483870967742,34719.354838709674,36576.45161290323,35420.967741935485,34895.48387096774,42119.67741935484,34711.93548387097,43109.67741935484,42002.58064516129,45630.0,38028.70967741936,40110.967741935485,33168.3870967742,48314.83870967742,44778.3870967742,42922.58064516129,41507.096774193546,39616.77419354839,45816.77419354839,33565.8064516129,31073.225806451614,28003.870967741936,34838.70967741936,34522.903225806454,33133.54838709677,31382.58064516129,33507.41935483871,34331.290322580644,37306.70777988615
Jun-23,33626.0,41772.0,38240.66666666666,39184.333333333336,37767.66666666666,38937.0,34849.333333333336,36452.333333333336,39140.66666666666,37836.0,37235.66666666666,45283.333333333336,36172.0,47350.66666666666,44960.66666666666,50382.0,40454.333333333336,40760.333333333336,34424.333333333336,48650.66666666666,44459.66666666666,44209.333333333336,42033.333333333336,40001.66666666666,46670.0,37207.0,31300.33333333333,29498.0,36354.66666666666,35507.666666666664,35796.333333333336,33080.0,35404.666666666664,37295.0,39185.22549019608
Jul-23,32711.290322580644,41367.41935483871,39951.93548387097,38569.03225806452,37750.645161290326,41652.90322580645,32707.09677419355,35380.32258064516,40318.70967741936,38257.096774193546,38001.93548387097,48207.41935483871,36311.6129032258,44338.06451612903,44216.77419354839,50424.51612903226,39117.74193548387,39819.35483870968,35186.77419354839,50470.645161290326,46263.87096774193,42067.74193548387,41866.45161290323,40804.1935483871,47271.29032258064,34531.93548387097,31610.967741935485,28625.16129032258,35093.22580645161,34673.54838709677,35457.096774193546,31748.387096774197,35690.32258064516,34487.41935483871,38969.203036053135
Aug-23,29540.322580645163,41400.967741935485,37575.48387096774,32704.83870967742,35632.58064516129,40691.93548387097,29180.967741935485,31418.387096774197,37566.77419354839,36689.03225806452,35345.48387096774,42313.87096774193,32990.32258064516,41273.22580645161,41414.83870967742,48644.83870967742,34414.51612903226,40017.74193548387,33932.903225806454,50498.3870967742,47600.0,40818.70967741936,42907.096774193546,43440.0,47268.70967741936,29569.35483870968,29678.387096774197,26037.09677419355,33441.290322580644,33497.096774193546,33046.77419354839,29673.548387096773,31456.774193548383,31406.774193548383,36855.55977229601
Sep-23,29590.0,39649.0,37522.0,32799.333333333336,35400.666666666664,39928.333333333336,30197.0,31252.33333333333,36400.66666666666,36068.0,35505.333333333336,40277.333333333336,30566.33333333333,38143.333333333336,38959.66666666666,46491.03448275862,34526.666666666664,40576.89655172414,33618.0,50009.333333333336,47740.0,41986.0,43046.333333333336,45491.0,47945.333333333336,29472.666666666668,28944.666666666668,25593.0,32485.33333333333,33039.666666666664,33606.333333333336,29412.666666666668,31545.33333333333,31357.33333333333,36445.497971602425
Oct-23,29103.870967741936,39477.74193548387,37166.45161290323,31854.1935483871,34653.87096774193,39006.77419354839,31010.967741935485,30911.290322580644,35823.54838709677,35377.096774193546,35256.45161290323,41889.35483870968,33915.8064516129,42965.48387096774,43052.90322580645,48928.3870967742,37427.096774193546,40322.58064516129,33479.354838709674,50168.06451612903,47410.967741935485,42888.06451612903,42427.41935483871,44849.67741935484,48887.74193548387,29213.225806451614,28889.032258064515,26062.25806451613,32436.129032258064,33320.967741935485,34626.45161290323,28881.93548387097,31155.483870967742,30985.8064516129,36877.24857685011
Nov-23,28204.0,38648.66666666666,36797.66666666666,30619.0,33717.333333333336,38988.333333333336,29840.666666666668,29693.0,35233.333333333336,34742.0,33768.333333333336,41941.333333333336,33735.0,43350.0,41918.66666666666,48261.66666666666,35094.333333333336,40443.0,33506.333333333336,49586.0,46044.0,41747.0,41669.333333333336,44077.66666666666,48910.0,29187.33333333333,28993.0,26609.0,32912.333333333336,34580.666666666664,34618.0,27744.0,30540.33333333333,29501.0,36330.06862745098
Dec-23,27943.225806451614,38605.16129032258,35777.41935483871,30771.93548387097,31729.032258064515,38555.48387096774,31501.93548387097,30298.70967741936,34363.22580645161,33938.70967741936,32146.774193548383,46376.45161290323,37165.16129032258,46305.8064516129,41155.48387096774,48110.967741935485,34655.16129032258,40556.12903225807,33007.74193548387,49749.67741935484,45810.32258064516,41327.74193548387,42210.645161290326,43794.83870967742,48957.096774193546,30203.870967741936,29878.70967741936,27164.83870967742,34034.51612903226,35270.32258064516,35449.354838709674,28880.64516129032,30553.870967741936,30649.032258064515,36673.5294117647
Jan-24,28651.612903225807,38112.58064516129,35464.1935483871,33889.67741935484,32189.032258064515,38620.0,33081.6129032258,34044.51612903226,34395.8064516129,33735.48387096774,31938.70967741936,45775.8064516129,38489.03225806452,47928.3870967742,44948.70967741936,49170.32258064516,35920.967741935485,40527.096774193546,33186.12903225807,48704.1935483871,45801.93548387097,41045.8064516129,42711.29032258064,41993.22580645161,50109.35483870968,32726.129032258064,30933.548387096773,28676.774193548383,34615.16129032258,35796.45161290323,35963.54838709677,30625.16129032258,31658.387096774197,32004.1935483871,37453.965844402286
